0   HLTriggerFirstPath, FIRED = 0
296   HLT_Mu17_TrkIsoVVL_v4, FIRED = 0
297   HLT_Ele8_CaloIdL_TrackIdL_IsoVL_PFJet30_v7, FIRED = 0
298   HLT_Ele12_CaloIdL_TrackIdL_IsoVL_PFJet30_v9, FIRED = 0
299   HLT_Ele17_CaloIdL_TrackIdL_IsoVL_PFJet30_v7, FIRED = 0
300   HLT_Ele23_CaloIdL_TrackIdL_IsoVL_PFJet30_v9, FIRED = 0
301   HLT_BTagMu_DiJet20_Mu5_v5, FIRED = 0
302   HLT_BTagMu_DiJet40_Mu5_v5, FIRED = 0
303   HLT_BTagMu_DiJet70_Mu5_v5, FIRED = 0
304   HLT_BTagMu_DiJet110_Mu5_v5, FIRED = 0
305   HLT_BTagMu_DiJet170_Mu5_v4, FIRED = 0
306   HLT_BTagMu_Jet300_Mu5_v5, FIRED = 0
307   HLT_BTagMu_AK8Jet300_Mu5_v4, FIRED = 0
308   HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v9, FIRED = 0
309   HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_L1JetTauSeeded_v3, FIRED = 0
310   HLT_Ele17_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v9, FIRED = 0
311   HLT_Ele16_Ele12_Ele8_CaloIdL_TrackIdL_v8, FIRED = 0
312   HLT_Mu8_TrkIsoVVL_Ele17_CaloIdL_TrackIdL_IsoVL_v9, FIRED = 0
313   HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v4, FIRED = 0
314   HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v3, FIRED = 0
315   HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v4, FIRED = 0
316   HLT_Mu17_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v9, FIRED = 0
317   HLT_Mu23_TrkIsoVVL_Ele8_CaloIdL_TrackIdL_IsoVL_DZ_v3, FIRED = 0
318   HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v9, FIRED = 0
319   HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v4, FIRED = 0
320   HLT_Mu33_Ele33_CaloIdL_GsfTrkIdVL_v3, FIRED = 0
321   HLT_Mu37_Ele27_CaloIdL_GsfTrkIdVL_v6, FIRED = 0
322   HLT_Mu27_Ele37_CaloIdL_GsfTrkIdVL_v6, FIRED = 0
323   HLT_Mu8_DiEle12_CaloIdL_TrackIdL_v9, FIRED = 0
324   HLT_Mu12_Photon25_CaloIdL_v8, FIRED = 0
325   HLT_Mu12_Photon25_CaloIdL_L1ISO_v8, FIRED = 0
326   HLT_Mu12_Photon25_CaloIdL_L1OR_v8, FIRED = 0
